Country_Code,MAE,RMSE,R2
0,86.7,100.69,-2.691
1,191.88,243.45,-0.8343
2,167.03,198.15,-1.4101
3,82.35,96.02,-0.2809
4,84.81,101.99,-1.106
5,182.97,226.8,-7.2172
6,172.51,185.24,-154.2897
7,106.91,116.14,-35.672
8,126.1,151.06,-2.9774
9,91.67,95.77,-17.11
10,216.24,258.75,-3.0382
11,84.3,101.99,-18.8039
12,143.92,149.98,-92.8956
13,102.35,112.68,-29.1442
14,102.19,123.2,-8.3545
15,57.41,64.61,0.7563
16,691.9,739.64,-153.6933
17,157.62,184.14,-21.2962
18,142.34,158.29,-66.3097
19,129.53,142.65,-0.195
